Apr  7 18:24:11 172.28.0.1 0cf640297dd9[153]: [07-Apr-2025 18:24:11] NOTICE: fpm is running, pid 1
Apr  7 18:24:11 172.28.0.1 0cf640297dd9[153]: [07-Apr-2025 18:24:11] NOTICE: ready to handle connections
Apr  7 18:25:27 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:25:27 +0000 "GET /index.php" 302
Apr  7 18:25:27 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:25:27 +0000 "GET /index.php" 200
Apr  7 18:25:27 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:25:27 +0000 "GET /index.php" 200
Apr  7 18:25:28 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:25:27 +0000 "GET /index.php" 404
Apr  7 18:25:30 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:25:30 +0000 "GET /index.php" 404
Apr  7 18:25:32 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:25:32 +0000 "GET /index.php" 404
Apr  7 18:28:01 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:01 +0000 "GET /index.php" 302
Apr  7 18:28:01 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:01 +0000 "GET /index.php" 200
Apr  7 18:28:01 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:01 +0000 "GET /index.php" 200
Apr  7 18:28:01 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:01 +0000 "GET /index.php" 404
Apr  7 18:28:01 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:01 +0000 "GET /index.php" 404
Apr  7 18:28:18 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:18 +0000 "GET /index.php" 302
Apr  7 18:28:18 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:18 +0000 "GET /index.php" 200
Apr  7 18:28:18 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:18 +0000 "GET /index.php" 404
Apr  7 18:28:18 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:18 +0000 "GET /index.php" 200
Apr  7 18:28:18 172.28.0.1 0cf640297dd9[153]: 172.29.0.5 -  07/Apr/2025:18:28:18 +0000 "GET /index.php" 404
