Apr  7 19:09:47 172.28.0.1 8f30b5c5cd21[153]: [07-Apr-2025 19:09:47] NOTICE: fpm is running, pid 1
Apr  7 19:09:47 172.28.0.1 8f30b5c5cd21[153]: [07-Apr-2025 19:09:47] NOTICE: ready to handle connections
Apr  7 19:10:34 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:10:33 +0000 "GET /index.php" 302
Apr  7 19:10:34 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:10:34 +0000 "GET /index.php" 200
Apr  7 19:10:34 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:10:34 +0000 "GET /index.php" 200
Apr  7 19:10:34 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:10:34 +0000 "GET /index.php" 404
Apr  7 19:10:34 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:10:34 +0000 "GET /index.php" 404
Apr  7 19:10:34 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:10:34 +0000 "GET /index.php" 404
Apr  7 19:10:39 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:10:38 +0000 "POST /index.php" 302
Apr  7 19:11:30 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:30 +0000 "GET /index.php" 200
Apr  7 19:11:30 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:30 +0000 "GET /index.php" 200
Apr  7 19:11:30 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:30 +0000 "GET /index.php" 404
Apr  7 19:11:30 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:30 +0000 "GET /index.php" 404
Apr  7 19:11:42 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:42 +0000 "GET /index.php" 200
Apr  7 19:11:42 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:42 +0000 "GET /index.php" 200
Apr  7 19:11:42 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:42 +0000 "GET /index.php" 404
Apr  7 19:11:43 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:42 +0000 "GET /index.php" 404
Apr  7 19:11:43 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:43 +0000 "GET /index.php" 500
Apr  7 19:11:53 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:11:53 +0000 "GET /index.php" 404
Apr  7 19:12:00 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:12:00 +0000 "GET /index.php" 302
Apr  7 19:12:00 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:12:00 +0000 "GET /index.php" 200
Apr  7 19:12:00 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:12:00 +0000 "GET /index.php" 200
Apr  7 19:12:00 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:12:00 +0000 "GET /index.php" 404
Apr  7 19:12:00 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:12:00 +0000 "GET /index.php" 404
Apr  7 19:12:01 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:12:00 +0000 "GET /index.php" 500
Apr  7 19:12:05 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:12:05 +0000 "POST /index.php" 302
Apr  7 19:12:05 172.28.0.1 8f30b5c5cd21[153]: 172.29.0.5 -  07/Apr/2025:19:12:05 +0000 "GET /index.php" 200
